TIME,V,I,I,pce
4.01E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.02E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.03E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.04E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.05E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.06E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.07E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.08E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.09E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.10E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.11E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.12E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.13E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.14E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.15E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.16E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.17E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
4.18E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.19E+01,8.70E-01,-1.23E-03,0.00123,18.4500 
4.20E+01,8.70E-01,-1.24E-03,0.00124,18.6000 
